score,position,name,country,sex,year,type,category,team,heat
45.1,1, Alessandra Marchetti, Italy,female,2013,pole sport,senior,individual,finals
44.2,2, Kate Czepulkowski, UK,female,2013,pole sport,senior,individual,finals
42.5,3, Polina Volchek, USA,female,2013,pole sport,senior,individual,finals
42.1,4, Haruna Matsunami, Japan,female,2013,pole sport,senior,individual,finals
39.4,5, Natalia Guseva, Russia,female,2013,pole sport,senior,individual,finals
38.1,6, Victoria Rame, Argentina,female,2013,pole sport,senior,individual,finals
35.9,7, Anna Nikulina, Czech Republic,female,2013,pole sport,senior,individual,finals
34.3,8, Tammy Smith, South Africa,female,2013,pole sport,senior,individual,finals
33.5,9, Veronika Mikhailova, Russia,female,2013,pole sport,senior,individual,finals
33.0,10, Stepanka Saskovicova, Czech Republic,female,2013,pole sport,senior,individual,finals
30.1,11, Sarah Cavenaile, Belgium,female,2013,pole sport,senior,individual,finals
25.9,12, Nina Teltsova, Russia,female,2013,pole sport,senior,individual,finals
43.9,1, Alex Shchukin, Ukraine,male,2013,pole sport,senior,individual,finals
38.0,2, Davide Zongoli, Italy,male,2013,pole sport,senior,individual,finals
50.2,3, Derick Pierson, USA,male,2013,pole sport,senior,individual,finals
37.2,4, Alessio Bucci, Italy,male,2013,pole sport,senior,individual,finals
36.8,5, Guilherme Wandresen, Brazil,male,2013,pole sport,senior,individual,finals
35.1,6 - Joint, Gregorys García & Daniel Rosen, Venezuela & UK,male,2013,pole sport,senior,individual,finals
30.3,8, Kazuya Naka, Japan,male,2013,pole sport,senior,individual,finals
47.0,1, Terri Walsh & Lisette Krol, Ireland,female,2013,pole sport,senior,doubles,finals
46.4,2, Sherry Bremner & Simone Hodgskiss, South Africa,female,2013,pole sport,senior,doubles,finals
45.5,3, Masayo Okamoto & Kazuya Naka, Japan,female,2013,pole sport,senior,doubles,finals
0.0,4, Julie Swart & Alicja Gralewska, South Africa,female,2013,pole sport,senior,doubles,finals
42.8,5, Julia Irinina and Erika Iakovleva, Russia,female,2013,pole sport,senior,doubles,finals
36.1,6, Belen Serra & Joaquin Dezzotti, Argentina,female,2013,pole sport,senior,doubles,finals
33.4,7, Manuela Badessi & Erika Lombardelli, Italy,female,2013,pole sport,senior,doubles,finals
26.1,8, Margie Maduro & Stephanie Kreukniet, Netherlands,female,2013,pole sport,senior,doubles,finals
44.9,1, Liza Szabo, Hungary,female,2013,pole sport,masters 40+,individual,finals
40.0,2, Yvette Austin, UK,female,2013,pole sport,masters 40+,individual,finals
39.9,3, Karen Chaundy, UK,female,2013,pole sport,masters 40+,individual,finals
37.8,4, Issey Yamazaki, Japan,female,2013,pole sport,masters 40+,individual,finals
34.8,5, Herdis Jenssen, Norway,female,2013,pole sport,masters 40+,individual,finals
32.6,6, Samantha Fabbrini, Italy,female,2013,pole sport,masters 40+,individual,finals
32.2,7, Mark Vernon, UK,male,2013,pole sport,masters 40+,individual,finals
37.7,1, Greta Pontarelli, USA,female,2013,pole sport,masters 50+,individual,finals
20.8,2, Irina Zelenkova, Russia,female,2013,pole sport,masters 50+,individual,finals
13.9,3, Natasha Payne, UK,female,2013,pole sport,masters 50+,individual,finals
28.2,1, Bernadett Floch, Hungary,female,2013,pole sport,junior,individual,finals
17.8,2, Mandy Maerevoet, Belgium,female,2013,pole sport,junior,individual,finals
38.3,1, Olga Trifinova, Russia,female,2013,pole sport,novice,individual,finals
35.0,2, Sofia Kiperman, Russia,female,2013,pole sport,novice,individual,finals
33.3,3, Evelina Bragina & Aimee Hilton, Russia & UK,female,2013,pole sport,novice,individual,finals
23.5,5, Ester Cardoso Barbosa, Italy,female,2013,pole sport,novice,individual,finals
23.0,6, Giorgia Bussi, Italy,female,2013,pole sport,novice,individual,finals
47.25,1,Paige Olson ,USA,female,2016,pole sport,novice,individual,finals
42.8,2,Romane Moscaritolo,Switzerland,female,2016,pole sport,novice,individual,finals
41.3,3,Sofiya Oliinyk,Ukraine,female,2016,pole sport,novice,individual,finals
40.5,4,Vanesa Viskova,Czech Republic,female,2016,pole sport,novice,individual,finals
39.4,5,Sorami Fujioka,Japan,female,2016,pole sport,novice,individual,finals
37.25,6,Annika Winkler,Germany,female,2016,pole sport,novice,individual,finals
37.0,7,Dana Castillo Zarazua,Mexico,female,2016,pole sport,novice,individual,finals
34.8,8,Andrea Estafanía Rodriguez Lopez,Mexico,female,2016,pole sport,novice,individual,finals
31.75,9,Terezie Drabikova,Czech Republic,female,2016,pole sport,novice,individual,finals
30.4,10,Chiari Isawaki,Japan,female,2016,pole sport,novice,individual,finals
50.2,1,Szonja Janzer,Hungary,female,2016,pole sport,junior,individual,finals
38.55,2,Andrea Fiorella Chacon Cortes,Colombia,female,2016,pole sport,junior,individual,finals
34.0,3,Nikol Kalabsova,Czech Republic,female,2016,pole sport,junior,individual,finals
28.45,4,Carolina Arlandez Zoyo,Spain,female,2016,pole sport,junior,individual,finals
27.85,5,Sarah Wagnerova,Czech Republic,female,2016,pole sport,junior,individual,finals
22.15,6,Kanna Tanigucho,Japan,female,2016,pole sport,junior,individual,finals
20.75,7,Astrid Piepers,The Netherlands,female,2016,pole sport,junior,individual,finals
20.2,8,Crystal Kerkhoven,The Netherlands,female,2016,pole sport,junior,individual,finals
9.9,9,Paola Cortés Viciconty,Mexico,female,2016,pole sport,junior,individual,finals
0.0,10,Takahashi Kyoko,Japan,female,2016,pole sport,junior,individual,finals
48.1,1,Yvonne Haug,Germany,female,2016,pole sport,masters 40+,individual,finals
37.7,2,Ryoko Ibaraki,Japan,female,2016,pole sport,masters 40+,individual,finals
35.0,3,Herdis Jenssen,Norway,female,2016,pole sport,masters 40+,individual,finals
31.15,4,Marcela Ramírez Fajardo,Chile,female,2016,pole sport,masters 40+,individual,finals
29.35,5,Orsolya Keleman,Hungary,female,2016,pole sport,masters 40+,individual,finals
27.1,6,Daniela Choderova,Czech republic,female,2016,pole sport,masters 40+,individual,finals
25.7,7,Susan Nolan,Ireland,female,2016,pole sport,masters 40+,individual,finals
25.05,8,Masako Aoki,Japan,female,2016,pole sport,masters 40+,individual,finals
22.1,9,Irina Parakhnievich,Ukraine,female,2016,pole sport,masters 40+,individual,finals
21.0,10,Maribel Cano Torres,Spain,female,2016,pole sport,masters 40+,individual,finals
18.9,11,Isabel Maria Aguilar,Colombia,female,2016,pole sport,masters 40+,individual,finals
16.2,12,Siuho Hung,The Netherlands,female,2016,pole sport,masters 40+,individual,finals
34.15,1,Seiichi Yamazaki,Japan,male,2016,pole sport,masters 40+,individual,finals
24.1,2,Takashi Minami,Japan,male,2016,pole sport,masters 40+,individual,finals
41.6,1,Christie Kurrle,Australia,female,2016,pole sport,masters 50+,individual,finals
39.0,2,Nora Susana Ordoñez López,Mexico,female,2016,pole sport,masters 50+,individual,finals
33.95,3,Edi Reis Gallego,Brazil,female,2016,pole sport,masters 50+,individual,finals
30.5,4,Mika Higuchi,Japan,female,2016,pole sport,masters 50+,individual,finals
27.8,5,Tintti Mikkonen,Finland,female,2016,pole sport,masters 50+,individual,finals
25.0,6,Rita Valvasori,Australia,female,2016,pole sport,masters 50+,individual,finals
16.25,7,Monica Van Beek,The Netherlands,female,2016,pole sport,masters 50+,individual,finals
16.65,1,Yoshichika Kugimiya,Japan,male,2016,pole sport,masters 50+,individual,finals
57.0,1,Polina Volchek and Dmitrii Politov,USA,mixed,2016,pole sport,senior,doubles,finals
48.45,2,María Eugenia Plaza Ortega & Mariana Trujillo Muñoz,Mexico,mixed,2016,pole sport,senior,doubles,finals
43.2,3,Amanda Drotz & Anki Happonen,Sweden,mixed,2016,pole sport,senior,doubles,finals
42.9,4,Julia Wahl & Bianca Schumayer,Germany,mixed,2016,pole sport,senior,doubles,finals
42.25,5,Keiko Takemoto & Maki Mori,Japan,mixed,2016,pole sport,senior,doubles,finals
41.25,6,Tamara Levering & Chris de Weerd,The Netherlands,mixed,2016,pole sport,senior,doubles,finals
39.75,7,Elise Lander & Vendi Andersson,Norway,mixed,2016,pole sport,senior,doubles,finals
38.9,8,Silva Retamal Eduardo Antonio & Saez Soto Cristopher,Chile,mixed,2016,pole sport,senior,doubles,finals
38.1,9,Tallyta Torres & Vera Lucia T. Almeida,Brazil,mixed,2016,pole sport,senior,doubles,finals
36.9,10,Marina Ruskova & Viktoriia Trenina,Russia,mixed,2016,pole sport,senior,doubles,finals
53.7,1,Ricardo Valenzuela Bustos,Chile,male,2016,pole sport,senior,individual,finals
49.8,2,Julio Cesar Marin Clavel,Colombia,male,2016,pole sport,senior,individual,finals
49.45,3,Felipe Nicolás Pérez Mendoza,Chile,male,2016,pole sport,senior,individual,finals
49.0,4,Moisés Ahumada Reyes,Mexico,male,2016,pole sport,senior,individual,finals
44.7,5,Naoto Araya,Japan,male,2016,pole sport,senior,individual,finals
44.1,6,Sierohukurov Hennadiy,Ukraine,male,2016,pole sport,senior,individual,finals
41.9,7,Christian Fernandez,Spain,male,2016,pole sport,senior,individual,finals
41.7,8,Kazuya Naka,Japan,male,2016,pole sport,senior,individual,finals
39.15,9,Jorge Lera,Norway,male,2016,pole sport,senior,individual,finals
34.85,10,Roman Konanchuk,Germany,male,2016,pole sport,senior,individual,finals
68.15,1,Rafaela Montanaro,USA,female,2016,pole sport,senior,individual,finals
64.55,2,Polina Volchek,USA,female,2016,pole sport,senior,individual,finals
60.0,3,Ruzenka Kunstyrova,Czech Republic,female,2016,pole sport,senior,individual,finals
51.85,4,Jordana de Haro,Spain,female,2016,pole sport,senior,individual,finals
51.5,5,Olena Minina,Ukraine,female,2016,pole sport,senior,individual,finals
49.55,6,Elise Dahl-Hansen,Norway,female,2016,pole sport,senior,individual,finals
46.7,7,Erika González del Pliego Revilla,Mexico,female,2016,pole sport,senior,individual,finals
46.7,8,María Eugenia Plaza Ortega,Mexico,female,2016,pole sport,senior,individual,finals
45.1,9,Tammy Smith,South Africa,female,2016,pole sport,senior,individual,finals
41.7,10,Sandra Jung,Germany,female,2016,pole sport,senior,individual,finals
46.0,1,Vanesa Viskova,Chech Republic,female,2016,pole sport,novice,individual,preliminary
45.05,2,Paige Olson ,USA,female,2016,pole sport,novice,individual,preliminary
43.95,3,Annika Winkler,Germany,female,2016,pole sport,novice,individual,preliminary
42.25,4,Romane Moscaritolo,Switzerland,female,2016,pole sport,novice,individual,preliminary
40.6,5,Sofiya Oliinyk,Ukraine,female,2016,pole sport,novice,individual,preliminary
39.6,6,Chiari Isawaki,Japan,female,2016,pole sport,novice,individual,preliminary
39.4,7,Andrea Estafanía Rodriguez Lopez,Mexico,female,2016,pole sport,novice,individual,preliminary
38.6,8,Dana Castillo Zarazua,Mexico,female,2016,pole sport,novice,individual,preliminary
38.35,9,Sorami Fujioka,Japan,female,2016,pole sport,novice,individual,preliminary
36.8,10,Terezie Drabikova,Czech Republic,female,2016,pole sport,novice,individual,preliminary
36.8,11,Grebeniuk Yelizaveta,Ukraine,female,2016,pole sport,novice,individual,preliminary
35.05,12,Jara Bauhaus,Germany,female,2016,pole sport,novice,individual,preliminary
34.8,13,Demi Brama,The Netherlands,female,2016,pole sport,novice,individual,preliminary
34.45,14,Zoe Blair,USA,female,2016,pole sport,novice,individual,preliminary
33.7,15,Brooke Lynne Unsworth,South Africa,female,2016,pole sport,novice,individual,preliminary
33.6,16,Alba Parra,Spain,female,2016,pole sport,novice,individual,preliminary
30.85,17,Zoë Timmermans,The Netherlands,female,2016,pole sport,novice,individual,preliminary
24.45,18,Menta Mery,Hungary,female,2016,pole sport,novice,individual,preliminary
22.75,19,Panna Kocsaslijszk,Hungary,female,2016,pole sport,novice,individual,preliminary
60.3,1,Polina Volchek and Dmitrii Politov,USA,mixed,2016,pole sport,senior,doubles,preliminary
50.95,2,Silva Retamal Eduardo Antonio & Saez Soto Cristopher,Chile,mixed,2016,pole sport,senior,doubles,preliminary
50.7,3,Keiko Takemoto & Maki Mori,Japan,mixed,2016,pole sport,senior,doubles,preliminary
50.65,4,María Eugenia Plaza Ortega & Mariana Trujillo Muñoz,Mexico,mixed,2016,pole sport,senior,doubles,preliminary
50.5,5,Elise Lander & Vendi Andersson,Norway,mixed,2016,pole sport,senior,doubles,preliminary
48.8,6,Marina Ruskova & Viktoriia Trenina,Russia,mixed,2016,pole sport,senior,doubles,preliminary
48.4,7,Tamara Levering & Chris de Weerd,Netherlands,mixed,2016,pole sport,senior,doubles,preliminary
47.55,8,Julia Wahl & Bianca Schumayer,Germany,mixed,2016,pole sport,senior,doubles,preliminary
46.7,9,Amanda Drotz & Anki Happonen,Sweden,mixed,2016,pole sport,senior,doubles,preliminary
45.2,10,Tallyta Torres & Vera Lucia T. Almeida,Brazil,mixed,2016,pole sport,senior,doubles,preliminary
44.05,11,Irina Mauch & Carmen Fisherkeller,Germany,mixed,2016,pole sport,senior,doubles,preliminary
43.6,12,Ai Nishimori & Ayaki Chikazawa,Japan,mixed,2016,pole sport,senior,doubles,preliminary
43.45,13,Katrina Wyckoff & Brianne McClanahan,USA,mixed,2016,pole sport,senior,doubles,preliminary
40.1,14,Camilla Haukas & Steivor Andersen,Norway,mixed,2016,pole sport,senior,doubles,preliminary
39.1,15,Dominika Nemeth & Szandra Siegler,Hungary,mixed,2016,pole sport,senior,doubles,preliminary
37.45,16,Lucia Correa & Ana Celano,Argentina,mixed,2016,pole sport,senior,doubles,preliminary
36.3,17,Kata Gyarmati & Marianna Potyka,Hungary,mixed,2016,pole sport,senior,doubles,preliminary
35.6,18,Manon Kohler & Gaëlle Gander,Switzerland,mixed,2016,pole sport,senior,doubles,preliminary
27.9,19,Suzanne Vink & Mirthe Janssen,Netherlands,mixed,2016,pole sport,senior,doubles,preliminary
55.95,1,Ricardo Valenzuela Bustos,Chile,male,2016,pole sport,senior,individual,preliminary
54.55,2,Felipe Nicolás Pérez Mendoza,Chile,male,2016,pole sport,senior,individual,preliminary
51.3,3,Julio Cesar Marin Clavel,Colombia,male,2016,pole sport,senior,individual,preliminary
48.35,4,Moisés Ahumada Reyes,Mexio,male,2016,pole sport,senior,individual,preliminary
47.2,5,Naoto Araya,Japan,male,2016,pole sport,senior,individual,preliminary
45.35,6,Sierohukurov Hennadiy,Ukraine,male,2016,pole sport,senior,individual,preliminary
43.95,7,Christian Fernandez,Spain,male,2016,pole sport,senior,individual,preliminary
42.2,8,Roman Konanchuk,Germany,male,2016,pole sport,senior,individual,preliminary
41.95,9,Kazuya Naka,Japan,male,2016,pole sport,senior,individual,preliminary
40.25,10,Jorge Lera,Norway,male,2016,pole sport,senior,individual,preliminary
39.0,11,Andres Dario Rivera,Colombia,male,2016,pole sport,senior,individual,preliminary
32.5,12,Hendrik de Jonge,Netherlands,male,2016,pole sport,senior,individual,preliminary
32.5,13,Lei Jiang,China,male,2016,pole sport,senior,individual,preliminary
24.45,14,Pawel Kulaga,Poland,male,2016,pole sport,senior,individual,preliminary
24.15,15,Jaesub Kim,South Korea,male,2016,pole sport,senior,individual,preliminary
21.9,16,Ludovic Roulin,Switzerland,male,2016,pole sport,senior,individual,preliminary
21.1,17,Gustavo da Silva Quintino,Brazil,male,2016,pole sport,senior,individual,preliminary
21.3,18,Hanse Andersson,Sweden,male,2016,pole sport,senior,individual,preliminary
18.85,19,Andrii Kopyniak,Ukraine,male,2016,pole sport,senior,individual,preliminary
68.3,1,Rafaela Montanaro,USA,female,2016,pole sport,senior,individual,preliminary
59.65,2,Ruzenka Kunstyrova,Czech Republic,female,2016,pole sport,senior,individual,preliminary
59.15,3,Polina Volchek,USA,female,2016,pole sport,senior,individual,preliminary
58.75,4,Erika González del Pliego Revilla,Mexico,female,2016,pole sport,senior,individual,preliminary
57.95,5,María Eugenia Plaza Ortega,Mexican,female,2016,pole sport,senior,individual,preliminary
53.45,6,Jordana de Haro,Spain,female,2016,pole sport,senior,individual,preliminary
52.45,7,Olena Minina,Ukraine,female,2016,pole sport,senior,individual,preliminary
51.0,8,Elise Dahl-Hansen,Norway,female,2016,pole sport,senior,individual,preliminary
49.65,9,Sandra Jung,Germany,female,2016,pole sport,senior,individual,preliminary
48.95,10,Tammy Smith,South Africa,female,2016,pole sport,senior,individual,preliminary
48.8,11,Romana Zahalkova,Czech Republic,female,2016,pole sport,senior,individual,preliminary
48.0,12,Rania El-Azzami,Germany,female,2016,pole sport,senior,individual,preliminary
46.9,13,Emi Ono,Japan,female,2016,pole sport,senior,individual,preliminary
46.55,14,Irina Vorobyeva,Spain,female,2016,pole sport,senior,individual,preliminary
46.2,15,Noemi Marosvolgyi,Czech Republic,female,2016,pole sport,senior,individual,preliminary
45.7,16,Julie Frota Barcellos,Brazil,female,2016,pole sport,senior,individual,preliminary
45.65,17,Belinda Van Ommen,Netherlands,female,2016,pole sport,senior,individual,preliminary
44.1,18,Ivania Sofía Reyes Noguera,Chile,female,2016,pole sport,senior,individual,preliminary
44.0,19,Reka Bokfi,Hungary,female,2016,pole sport,senior,individual,preliminary
42.9,20,Bjorg Granly,Norway,female,2016,pole sport,senior,individual,preliminary
42.6,21,Iamad Boari,Italy,female,2016,pole sport,senior,individual,preliminary
41.05,22,Kiyoko Okamoto,Japan,female,2016,pole sport,senior,individual,preliminary
40.7,23,Aleksandra Bednarz,Poland,female,2016,pole sport,senior,individual,preliminary
40.5,24,Alessandra Rancan True,Brazil,female,2016,pole sport,senior,individual,preliminary
39.75,25,Kelly Navarro,Colombia,female,2016,pole sport,senior,individual,preliminary
39.25,26,Florencia Forquera,Argentina,female,2016,pole sport,senior,individual,preliminary
35.2,27,Natasa Belic,Serbia,female,2016,pole sport,senior,individual,preliminary
33.75,28,Miriam Brinksma,The Netherlands,female,2016,pole sport,senior,individual,preliminary
31.95,29,Zarina Madelaine Breitman,Argentina,female,2016,pole sport,senior,individual,preliminary
28.35,30,Paola Andrea Martin,Colombia,female,2016,pole sport,senior,individual,preliminary
28.3,31,Tine Poullet,Belgium,female,2016,pole sport,senior,individual,preliminary
21.75,32,Milenka Paulina Pizarro Bossa,Chile,female,2016,pole sport,senior,individual,preliminary
18.65,33,Melanie Martin,South Africa,female,2016,pole sport,senior,individual,preliminary
0.0,34,Sandra de Sloovere,Switzerland,female,2016,pole sport,senior,individual,preliminary
48.9,1,Polina Pabel,Russia,female,2017,pole sport,junior,individual,preliminary
43.0,2,Evelina Bragina,Russia,female,2017,pole sport,junior,individual,preliminary
38.1,3,Nikou Kai,Japan,female,2017,pole sport,junior,individual,preliminary
36.8,4,Annika Winkler,Germany,female,2017,pole sport,junior,individual,preliminary
35.5,5,Roni Tamir,Israel,female,2017,pole sport,junior,individual,preliminary
32.6,6,Chantal van Oevelen,Netherlands,female,2017,pole sport,junior,individual,preliminary
32.5,7,Eva Alemany Modol,Spain,female,2017,pole sport,junior,individual,preliminary
31.8,8,Kyra Ayling,South Africa,female,2017,pole sport,junior,individual,preliminary
31.6,9,Yelyzeveta Grebenuik,Ukraine,female,2017,pole sport,junior,individual,preliminary
31.2,10,Carolina Arlandez Zoyo,Spain,female,2017,pole sport,junior,individual,preliminary
29.8,11,Paola Viciconty,Mexico,female,2017,pole sport,junior,individual,preliminary
29.5,12,Ella Shalit,Israel,female,2017,pole sport,junior,individual,preliminary
28.5,13,Zsófia Sebesta,Hungary,female,2017,pole sport,junior,individual,preliminary
50.2,14,Zoë Timmermans,Netherlands,female,2017,pole sport,junior,individual,preliminary
22.2,15,Laura Viloria,Venezuela,female,2017,pole sport,junior,individual,preliminary
12.0,16,Luna di Vittoria,Germany,female,2017,pole sport,junior,individual,preliminary
5.0,17,Kanna Taniguchi,Japan,female,2017,pole sport,junior,individual,preliminary
49.3,1,Moisés Ahumada Reyes,Mexico,male,2017,pole sport,senior,individual,preliminary
41.9,2,Christian Fernandez,Spain,male,2017,pole sport,senior,individual,preliminary
0.0,3,Sebastian Callejas Hernandez,Colombia,male,2017,pole sport,senior,individual,preliminary
40.6,4,Naoto Araya,Japan,male,2017,pole sport,senior,individual,preliminary
40.3,5,Sergio Ivan Chan Baños,Mexico,male,2017,pole sport,senior,individual,preliminary
39.8,6,Hao Zhang,China,male,2017,pole sport,senior,individual,preliminary
39.6,7,Guilherme Ambrósio,Brazil,male,2017,pole sport,senior,individual,preliminary
39.0,8,Kazuya Naka,Japan,male,2017,pole sport,senior,individual,preliminary
37.4,9,Vecislavs Ruza,Sweden,male,2017,pole sport,senior,individual,preliminary
35.9,10,Denis Terrones Salinas,Spain,male,2017,pole sport,senior,individual,preliminary
34.2,11,Lei Jiang,China,male,2017,pole sport,senior,individual,preliminary
31.6,12,Filipe Saboia,Brazil,male,2017,pole sport,senior,individual,preliminary
28.3,13,Hendrik de Jonge,Netherlands,male,2017,pole sport,senior,individual,preliminary
23.1,14,Jose Sotillo,Venezuela,male,2017,pole sport,senior,individual,preliminary
21.4,15,Prakorn Weeraphon,Thailand,male,2017,pole sport,senior,individual,preliminary
19.4,16,Roman Konanchuk,Germany,male,2017,pole sport,senior,individual,preliminary
16.8,17,Nick Krämer,Germany,male,2017,pole sport,senior,individual,preliminary
16.2,18,Hennadii Sierokurov,Ukraine,male,2017,pole sport,senior,individual,preliminary
7.5,19,Maurits Kersten,Netherlands,male,2017,pole sport,senior,individual,preliminary
48.1,1,Dana Castillo,Mexico,female,2017,pole sport,novice,individual,preliminary
45.5,2,Ignacia Oyarzo Mella,Chile,female,2017,pole sport,novice,individual,preliminary
44.9,3,Anzhelika Mikutaitis,Russia,female,2017,pole sport,novice,individual,preliminary
44.6,4,Romane Moscaritolo,Switzerland,female,2017,pole sport,novice,individual,preliminary
44.5,5,Alonya Fomenko,Russia,female,2017,pole sport,novice,individual,preliminary
44.3,6,Alba Parro Alonso,Spain,female,2017,pole sport,novice,individual,preliminary
44.1,7,Alicji Jaruk,Poland,female,2017,pole sport,novice,individual,preliminary
43.1,8,Demi Brama,Netherlands,female,2017,pole sport,novice,individual,preliminary
41.3,9,Regina Andree Meza Huerta,Mexico,female,2017,pole sport,novice,individual,preliminary
40.4,10,Daryna Kulich,Ukraine,female,2017,pole sport,novice,individual,preliminary
39.4,11,Alba Domingo Venegas,Spain,female,2017,pole sport,novice,individual,preliminary
38.8,12,Sorami Fujioka,Japan,female,2017,pole sport,novice,individual,preliminary
38.7,13,Karina Lukash,Ukraine,female,2017,pole sport,novice,individual,preliminary
38.7,14,Valentina Gonzalez,Chile,female,2017,pole sport,novice,individual,preliminary
38.7,15,Camila Armas,Venezuela,female,2017,pole sport,novice,individual,preliminary
35.8,16,Lydia Kanellopoulou,Greece,female,2017,pole sport,novice,individual,preliminary
34.5,17,Anna László,Hungary,female,2017,pole sport,novice,individual,preliminary
32.1,18,Irini Babuin,Greece,female,2017,pole sport,novice,individual,preliminary
32.0,19,Janne Jacobs,Netherlands,female,2017,pole sport,novice,individual,preliminary
29.7,20,Ciari Iwasaki,Japan,female,2017,pole sport,novice,individual,preliminary
47.0,1,Masako Aoki,Japan,female,2017,pole sport,masters 40+,individual,preliminary
43.9,2,Orsolya Kelemen,Hungary,female,2017,pole sport,masters 40+,individual,preliminary
39.3,3,Silvia Floridi,Spain,female,2017,pole sport,masters 40+,individual,preliminary
38.5,4,Raquel Ballesta,Spain,female,2017,pole sport,masters 40+,individual,preliminary
37.8,5,Benita Bouwer,South Africa,female,2017,pole sport,masters 40+,individual,preliminary
36.2,6,Yvette Austin,United Kingdom,female,2017,pole sport,masters 40+,individual,preliminary
35.0,7,Clare Filer,South Africa,female,2017,pole sport,masters 40+,individual,preliminary
34.7,8,Marcela Ramirez,Chile,female,2017,pole sport,masters 40+,individual,preliminary
32.0,9,IMelda Cabello Larios,Mexico,female,2017,pole sport,masters 40+,individual,preliminary
30.1,10,Marcia Zarate Almendras,Chile,female,2017,pole sport,masters 40+,individual,preliminary
30.1,11,Wiebke Schröder,Germany,female,2017,pole sport,masters 40+,individual,preliminary
25.7,12,Laure Quiquempois,Belgium,female,2017,pole sport,masters 40+,individual,preliminary
17.5,13,Patricia Goussens,Belgium,female,2017,pole sport,masters 40+,individual,preliminary
16.4,14,Haruna Shiiba,Japan,female,2017,pole sport,masters 40+,individual,preliminary
11.9,15,Man Wai Fong,Hong Kong,female,2017,pole sport,masters 40+,individual,preliminary
11.8,16,Sofia Kaltaki,Greece,female,2017,pole sport,masters 40+,individual,preliminary
5.8,17,Jeanette Jankowski,Germany,female,2017,pole sport,masters 40+,individual,preliminary
69.75,1,Yvonne Haug,Germany,mixed,2017,artistic pole,masters 50+,individual,finals
60.5,2,Edi Reis,Brazil,mixed,2017,artistic pole,masters 50+,individual,finals
54.5,3,Nora Susana Ordonez Lopez,Mexico,mixed,2017,artistic pole,masters 50+,individual,finals
36.5,4,Lex Hart,Canada,mixed,2017,artistic pole,masters 50+,individual,finals
31.5,5,Irina Zelenkova ,Russia,mixed,2017,artistic pole,masters 50+,individual,finals
30.5,6,Tintii Mikkonen,Finland,mixed,2017,artistic pole,masters 50+,individual,finals
90.75,1,Polina Volchek & Dimitry Politov,USA,mixed,2017,artistic pole,senior,doubles,finals
74.0,2,Diego Novello & Stefania Cremaschi,Italy,mixed,2017,artistic pole,senior,doubles,finals
73.25,3,Elisenda Font Gomez & Xavier Estragues Casanovas,Spain,mixed,2017,artistic pole,senior,doubles,finals
60.35,4,Karen Urquart & Leeann Ball,Canada,mixed,2017,artistic pole,senior,doubles,finals
66.75,5,Sanni Erämies & Pilu Pekari,Finland,mixed,2017,artistic pole,senior,doubles,finals
53.75,6,Anastasiia Lisichkina &	Viktoriia Matveichuk,Russia,mixed,2017,artistic pole,senior,doubles,finals
44.5,7,Ellamari Lassila & Henri Heikenheimo,Finland,mixed,2017,artistic pole,senior,doubles,finals
33.25,8,Aya Mugita & Shoko Sonoda,Japan,mixed,2017,artistic pole,senior,doubles,finals
81.0,1,Denis Terrones Salinas,Spain,male,2017,artistic pole,senior,individual,finals
72.25,2,Moisés Ahumada Reyes,Mexico,male,2017,artistic pole,senior,individual,finals
72.0,3,Jorge Lera,Norway,male,2017,artistic pole,senior,individual,finals
53.5,4,Costanzo Marro,Italy,male,2017,artistic pole,senior,individual,finals
81.5,1,Yu Meng Zhang,China,female,2017,artistic pole,senior,individual,finals
81.5,2,Polina Volchek,USA,female,2017,artistic pole,senior,individual,finals
81.25,3,Hanka Venselaar,Netherlands,female,2017,artistic pole,senior,individual,finals
70.0,4,Erika Gonzalez del Pliego,Mexico,female,2017,artistic pole,senior,individual,finals
69.5,5,Noémi Marosvölgyi,Hungary,female,2017,artistic pole,senior,individual,finals
69.0,6,Viktoriia Chapaikina,Russia,female,2017,artistic pole,senior,individual,finals
67.75,7,Melanie Martin,South Africa,female,2017,artistic pole,senior,individual,finals
67.0,8,Simona Narcisi,Italy,female,2017,artistic pole,senior,individual,finals
63.0,9,Hanna Knihtilä,Finland,female,2017,artistic pole,senior,individual,finals
60.0,10,Marie Gatell Mateu,Spain,female,2017,artistic pole,senior,individual,finals
47.725,11,Ibaraki Ryoko,New Zealand,female,2017,artistic pole,senior,individual,finals
31.9,1,Albert Amores Roig,Spain,male,2017,pole sport,novice,individual,finals
29.9,2,Daniil Penchukov,Russia,male,2017,pole sport,novice,individual,finals
46.9,1,Dana Castillo,Mexico,female,2017,pole sport,novice,individual,finals
44.1,2,Ignacia Oyarzo Mella,Chile,female,2017,pole sport,novice,individual,finals
43.8,3,Regina Andree Meza Huerta,Mexico,female,2017,pole sport,novice,individual,finals
43.1,4,Alicji Jaruk,Poland,female,2017,pole sport,novice,individual,finals
42.6,5,Romane Moscaritolo,Switzerland,female,2017,pole sport,novice,individual,finals
42.2,6,Demi Brama,Netherlands,female,2017,pole sport,novice,individual,finals
40.9,7,Alonya Fomenko,Russia,female,2017,pole sport,novice,individual,finals
39.3,8,Alba Parra Alonso,Spain,female,2017,pole sport,novice,individual,finals
39.2,9,Anzehelika Mikutaitus,Russia,female,2017,pole sport,novice,individual,finals
